2021-01-21 17:23:14,023 DBNet.pytorch INFO: [1/100], [5170/6416], global_step: 5170, speed: 2.7 samples/sec, acc: 0.7303, iou_shrink_map: 0.5331, loss: 1.8316loss_shrink_maps: 0.4772, loss_threshold_maps: 0.0919, loss_binary_maps: 0.4352, , lr:0.000440752, time:3.67
2021-01-21 17:23:17,657 DBNet.pytorch INFO: [1/100], [5180/6416], global_step: 5180, speed: 2.8 samples/sec, acc: 0.7306, iou_shrink_map: 0.5333, loss: 2.9417loss_shrink_maps: 0.9418, loss_threshold_maps: 0.1011, loss_binary_maps: 0.9893, , lr:0.00044096, time:3.63
2021-01-21 17:23:21,274 DBNet.pytorch INFO: [1/100], [5190/6416], global_step: 5190, speed: 2.8 samples/sec, acc: 0.7305, iou_shrink_map: 0.5334, loss: 1.9534loss_shrink_maps: 0.5063, loss_threshold_maps: 0.0900, loss_binary_maps: 0.5474, , lr:0.000441168, time:3.62
2021-01-21 17:23:24,885 DBNet.pytorch INFO: [1/100], [5200/6416], global_step: 5200, speed: 2.8 samples/sec, acc: 0.7307, iou_shrink_map: 0.5336, loss: 1.3732loss_shrink_maps: 0.3975, loss_threshold_maps: 0.0713, loss_binary_maps: 0.2625, , lr:0.000441376, time:3.61
2021-01-21 17:23:28,476 DBNet.pytorch INFO: [1/100], [5210/6416], global_step: 5210, speed: 2.8 samples/sec, acc: 0.7309, iou_shrink_map: 0.5337, loss: 1.3348loss_shrink_maps: 0.3994, loss_threshold_maps: 0.0627, loss_binary_maps: 0.3088, , lr:0.000441584, time:3.59
2021-01-21 17:23:32,126 DBNet.pytorch INFO: [1/100], [5220/6416], global_step: 5220, speed: 2.7 samples/sec, acc: 0.7310, iou_shrink_map: 0.5339, loss: 1.5960loss_shrink_maps: 0.4342, loss_threshold_maps: 0.0849, loss_binary_maps: 0.3131, , lr:0.000441791, time:3.65
2021-01-21 17:23:35,756 DBNet.pytorch INFO: [1/100], [5230/6416], global_step: 5230, speed: 2.8 samples/sec, acc: 0.7309, iou_shrink_map: 0.5340, loss: 2.8784loss_shrink_maps: 0.8408, loss_threshold_maps: 0.1095, loss_binary_maps: 0.9431, , lr:0.000441999, time:3.63
2021-01-21 17:23:39,414 DBNet.pytorch INFO: [1/100], [5240/6416], global_step: 5240, speed: 2.7 samples/sec, acc: 0.7311, iou_shrink_map: 0.5342, loss: 3.2632loss_shrink_maps: 0.9302, loss_threshold_maps: 0.1475, loss_binary_maps: 0.8583, , lr:0.000442207, time:3.66
2021-01-21 17:23:43,035 DBNet.pytorch INFO: [1/100], [5250/6416], global_step: 5250, speed: 2.8 samples/sec, acc: 0.7313, iou_shrink_map: 0.5343, loss: 1.2929loss_shrink_maps: 0.3835, loss_threshold_maps: 0.0674, loss_binary_maps: 0.2354, , lr:0.000442415, time:3.62
2021-01-21 17:23:46,659 DBNet.pytorch INFO: [1/100], [5260/6416], global_step: 5260, speed: 2.8 samples/sec, acc: 0.7312, iou_shrink_map: 0.5345, loss: 0.9998loss_shrink_maps: 0.3445, loss_threshold_maps: 0.0450, loss_binary_maps: 0.2049, , lr:0.000442623, time:3.62
2021-01-21 17:23:50,289 DBNet.pytorch INFO: [1/100], [5270/6416], global_step: 5270, speed: 2.8 samples/sec, acc: 0.7316, iou_shrink_map: 0.5347, loss: 1.5216loss_shrink_maps: 0.4139, loss_threshold_maps: 0.0774, loss_binary_maps: 0.3334, , lr:0.00044283, time:3.63
2021-01-21 17:23:53,955 DBNet.pytorch INFO: [1/100], [5280/6416], global_step: 5280, speed: 2.7 samples/sec, acc: 0.7317, iou_shrink_map: 0.5348, loss: 1.4489loss_shrink_maps: 0.3935, loss_threshold_maps: 0.0747, loss_binary_maps: 0.3080, , lr:0.000443038, time:3.67
2021-01-21 17:23:57,586 DBNet.pytorch INFO: [1/100], [5290/6416], global_step: 5290, speed: 2.8 samples/sec, acc: 0.7317, iou_shrink_map: 0.5350, loss: 0.8953loss_shrink_maps: 0.3087, loss_threshold_maps: 0.0437, loss_binary_maps: 0.1499, , lr:0.000443246, time:3.63
2021-01-21 17:24:01,214 DBNet.pytorch INFO: [1/100], [5300/6416], global_step: 5300, speed: 2.8 samples/sec, acc: 0.7318, iou_shrink_map: 0.5351, loss: 2.2006loss_shrink_maps: 0.5578, loss_threshold_maps: 0.0976, loss_binary_maps: 0.6668, , lr:0.000443454, time:3.63
2021-01-21 17:24:04,842 DBNet.pytorch INFO: [1/100], [5310/6416], global_step: 5310, speed: 2.8 samples/sec, acc: 0.7319, iou_shrink_map: 0.5353, loss: 2.6975loss_shrink_maps: 0.8141, loss_threshold_maps: 0.0922, loss_binary_maps: 0.9614, , lr:0.000443662, time:3.63
2021-01-21 17:24:08,494 DBNet.pytorch INFO: [1/100], [5320/6416], global_step: 5320, speed: 2.7 samples/sec, acc: 0.7320, iou_shrink_map: 0.5354, loss: 2.2924loss_shrink_maps: 0.5296, loss_threshold_maps: 0.1135, loss_binary_maps: 0.6278, , lr:0.000443869, time:3.65
2021-01-21 17:24:12,129 DBNet.pytorch INFO: [1/100], [5330/6416], global_step: 5330, speed: 2.8 samples/sec, acc: 0.7321, iou_shrink_map: 0.5356, loss: 1.0147loss_shrink_maps: 0.3300, loss_threshold_maps: 0.0551, loss_binary_maps: 0.1341, , lr:0.000444077, time:3.63
2021-01-21 17:24:15,733 DBNet.pytorch INFO: [1/100], [5340/6416], global_step: 5340, speed: 2.8 samples/sec, acc: 0.7323, iou_shrink_map: 0.5358, loss: 1.1569loss_shrink_maps: 0.3288, loss_threshold_maps: 0.0624, loss_binary_maps: 0.2037, , lr:0.000444285, time:3.60
2021-01-21 17:24:19,364 DBNet.pytorch INFO: [1/100], [5350/6416], global_step: 5350, speed: 2.8 samples/sec, acc: 0.7324, iou_shrink_map: 0.5359, loss: 3.1910loss_shrink_maps: 0.9749, loss_threshold_maps: 0.1216, loss_binary_maps: 1.0000, , lr:0.000444493, time:3.63
2021-01-21 17:24:23,027 DBNet.pytorch INFO: [1/100], [5360/6416], global_step: 5360, speed: 2.7 samples/sec, acc: 0.7325, iou_shrink_map: 0.5360, loss: 1.9839loss_shrink_maps: 0.5789, loss_threshold_maps: 0.0896, loss_binary_maps: 0.5087, , lr:0.000444701, time:3.66
